"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",100,100,100,100,100
"300","all-in-one",100,100,100,100,100
"300","by-stack",100,100,100,100,100
"300","by-dependencies",100,100,100,100,100
"2400","benchmark",100,100,100,100,100
"2400","all-in-one",100,100,100,100,100
"2400","by-stack",100,100,100,100,100
"2400","by-dependencies",100,100,100,100,100
"4500","benchmark",100,100,100,100,100
"4500","all-in-one",100,100,100,100,100
"4500","by-stack",100,100,100,100,100
"4500","by-dependencies",100,100,100,100,100
